roll,pitch,yaw,acc_x,acc_y,acc_z,label
-1470,70,280,12,0,1004,1
280,-3010,-560,21,-5,999,1
1610,490,1190,19,6,1001,1
770,-350,2940,22,-10,992,1
-1050,-1680,2940,17,4,996,1
-1050,2240,-140,25,-6,990,1
1190,490,1190,23,-9,998,1
-560,70,1610,17,-3,990,1
-1470,490,770,16,-5,1005,1
1190,-2520,-1050,15,-6,992,1
-1890,-1680,280,14,4,996,1
1610,-2520,770,25,-12,990,1
3430,-3010,2100,6,-11,995,1
1190,-1260,1190,12,-14,1001,1
2100,490,1610,19,-4,1001,1
770,-3010,1190,29,-2,994,1
770,-2100,1190,8,-8,1005,1
3430,-1680,-2380,13,-2,1003,1
1610,70,-1050,22,-13,1007,1
280,-1260,770,25,-13,1003,1
1680,910,1610,17,-19,996,1
3010,-1260,-1050,9,-11,997,1
-140,-840,770,15,-11,1001,1
2520,910,-560,23,-13,997,1
-1050,490,-2380,13,-12,997,1
3010,-1260,1610,15,-17,992,1
770,-770,3430,19,-8,1001,1
4340,-1680,1190,12,-11,1003,1
-140,490,-140,14,-3,992,1
-1050,-1680,2520,22,-4,997,1
3010,490,1190,10,-20,990,1
-1470,70,-1050,22,-3,1003,1
-1050,910,280,20,-20,994,1
3010,70,-140,15,-9,996,1
770,70,-560,13,0,1002,1
-1050,-1680,-1890,15,-4,987,1
-2380,1820,-1470,20,-10,996,1
280,-3850,-2380,11,0,1001,1
2100,-3430,-560,11,-11,993,1
2100,3150,280,25,-14,998,1
3850,-2100,-2380,16,-10,996,1
-2800,-2100,-140,23,-16,1003,1
770,-2520,-140,13,-11,996,1
3010,-1260,-1890,24,-3,993,1
-1470,-350,2940,15,-11,997,1
-18830,16660,-8120,-640,732,-110,0
-33950,47600,-5880,-672,734,-121,0
15400,-32620,-13930,-530,650,101,0
7000,3990,1190,-611,625,-147,0
11900,-38780,8750,-306,880,-128,0
29680,-35700,-1890,-613,725,-179,0
3010,-350,6090,-626,795,-145,0
-2380,-4760,10500,-659,561,52,0
45640,48930,-13020,-660,-1059,298,0
-7700,-35700,23870,-604,-624,473,0
-13020,16660,-1050,-675,761,-234,0
17640,-26950,2520,-419,857,-78,0
-30380,29260,-13440,-627,728,-146,0
9660,13580,-140,-745,748,-69,0
25690,-54040,8750,-704,750,-109,0
-18830,68950,27370,-676,691,204,0
-16170,-18690,5670,-728,729,-164,0
-26390,45850,-13930,-610,658,-49,0
8330,-64470,14070,-346,990,-229,0
14980,-12180,15820,-1043,224,112,0
-15680,42350,-15260,-621,660,-138,0
45220,14910,-18760,-677,-614,387,0
30100,-37450,-11690,-537,766,161,0
-28140,48020,15400,-400,895,-127,0
21210,-17360,17640,-552,779,-308,0
16310,-30870,-10780,-340,-606,655,0
-2800,31920,-13020,-638,-592,361,0
8750,-57960,8750,-421,928,-83,0
41650,39340,-25900,-743,-593,410,0
42560,-54040,14980,-769,744,-312,0
-35280,38430,-5040,-670,721,-67,0
16310,-65800,1190,-387,925,-90,0
-44590,49350,2940,-534,824,59,0
46550,-47880,-7700,-611,770,215,0
7840,-9100,-7210,-707,-607,324,0
26110,33670,-13930,-667,-616,348,0
7840,-8190,-560,-675,786,-168,0
18970,-9520,22050,-626,793,-194,0
-29470,-29190,14980,-675,-632,398,0
49700,43260,-32970,-752,-556,313,0
-5460,-9100,3850,-385,819,-179,0
36750,-4270,-20090,-638,-633,468,0
35910,-47460,23380,-746,730,-224,0
-560,-1680,18060,-964,293,104,0
17220,-70140,11830,-458,960,-125,0
10080,-39200,7420,-595,720,-175,0
-21490,26250,-3220,-685,755,-192,0
-33040,44100,-1050,-640,745,-107,0
-16590,62440,1610,-359,833,-43,0
-19670,1820,16730,-884,267,-7,0
24290,-24360,8750,-642,711,-133,0
36750,-43540,-12600,-568,736,214,0
-33460,62440,16730,-520,798,111,0
-26390,31500,10080,-487,757,-166,0
22960,-23940,25620,-553,658,84,0
20300,10080,-16100,-712,-550,303,0
-13440,23170,2520,-516,861,120,0
-25060,-20020,18550,-800,-615,412,0
-9940,8820,-5880,-638,801,-175,0
12320,-40950,-14770,-582,752,178,0
-50820,45010,9170,-690,684,84,0
-32130,64610,-7700,-427,891,-33,0
54110,-52710,24710,-784,761,-131,0
42560,-33950,4340,-678,742,-87,0
-17500,34510,-8540,-620,675,-80,0
9660,-20860,7420,-636,699,-261,0
770,-51870,12740,-438,926,-147,0
-29470,33670,-24080,-728,731,39,0
46970,-57470,12740,-640,768,-274,0
-12600,17920,35420,-306,998,-51,0
39410,-60130,11410,-708,655,-175,0
42560,-27860,15400,-706,714,-99,0
6090,3150,-5460,-448,924,-78,0
-9030,-24360,8750,-664,-610,408,0
-16590,48020,-2380,-378,888,-149,0
-3220,910,8750,-678,665,-265,0
12740,-14770,-27230,-540,-619,583,0
-44170,-80150,6510,-707,-732,-38,0
40320,-39200,-9450,-662,789,212,0
-3710,9660,-15680,-771,555,-367,0
-4130,15750,-3710,-317,935,-122,0
38080,36680,-13020,-731,-549,388,0
7000,-20860,6510,-747,-615,400,0
7420,29750,-2380,-351,1025,-117,0
35910,-35700,15820,-602,785,-207,0
36330,-52290,11410,-666,701,-38,0
6090,36680,17150,-743,767,14,0
-32130,39760,-3710,-638,737,-86,0
-22820,41090,4340,-709,721,-128,0
29190,-53550,7000,-382,936,-141,0
18970,-38780,-13020,-603,758,174,0
-23240,28840,-1050,-595,734,-262,0
15890,1400,8330,-650,663,-106,0
14070,-13440,8750,-356,927,-85,0
23870,-49630,3850,-628,698,-194,0
18970,-39620,770,-701,669,-62,0
-13020,-32620,9660,-643,-633,486,0
350,-36540,-9870,-442,1005,-155,0
31430,-63630,-560,-379,890,-97,0
37240,-88060,25200,-356,778,-65,0
14560,29260,-7700,-707,-648,508,0
14980,6580,-2800,-518,821,-345,0
42140,-40950,3850,-699,707,-75,0
-42840,25340,8330,-725,686,101,0
-37940,40180,7000,-726,729,18,0
-36120,46760,-3220,-670,700,-176,0
4760,-47880,14490,-331,915,-100,0
33250,-67550,14490,-377,908,-209,0
8750,3570,-1470,-613,-628,346,0
-36610,32340,-5460,-663,755,-211,0
-4130,44100,3430,-715,746,-164,0
3010,21420,-6370,-688,-564,398,0
34580,-52710,14490,-637,794,-289,0
-9940,30590,1610,-616,695,-81,0
18970,26670,-8120,-643,-641,394,0
28350,2240,-11270,-775,798,175,0
23450,-45290,-1890,-631,795,-234,0
25690,9660,21210,-753,844,167,0
13650,9240,-7700,-647,-646,388,0
-32620,-61460,6510,-297,-719,-425,0
34090,-32200,9660,-699,661,-226,0
-43260,48510,19390,-487,852,99,0
15400,-30870,280,-373,903,-172,0
7420,-31360,3430,-368,988,-155,0
17640,-48790,2100,-594,711,-247,0
35000,2240,-10360,-776,-628,368,0
41230,29750,-28560,-767,-629,392,0
-25900,14490,-8540,-224,880,-125,0
-12600,-25200,10990,-700,-596,334,0
-36610,-24360,27370,-782,-630,377,0
-11690,-20860,1610,-643,-628,387,0
7840,70,-14770,-826,-575,534,0
13230,20580,-1470,-678,-601,431,0
15890,8820,-9450,-667,-592,413,0
13650,-1260,-3710,-627,-623,372,0
-11270,12250,-13440,-660,813,-61,0
2100,-1680,1190,-666,716,-61,0
5670,-25200,770,-399,909,-52,0
-64610,-43540,33600,-378,-732,21,0
-10780,-6510,19880,-534,-813,-110,0
-1890,-4760,3010,-748,-612,541,0
