roll,pitch,yaw,acc_x,acc_y,acc_z,label
-140,1820,2100,18,-11,997,1
-560,-770,-2380,17,2,988,1
1610,2240,-140,14,-11,1004,1
770,-1680,-1470,16,-7,999,1
-560,-2520,-1890,4,0,996,1
2520,-3430,-1890,10,-3,1002,1
3010,1400,2520,18,-9,987,1
280,-770,-1890,12,-8,996,1
2520,-4760,2520,14,-7,999,1
3010,-770,1190,10,-9,990,1
3010,-2100,-1050,9,-18,997,1
-5460,3150,-1470,0,-2,1004,1
2520,-3850,280,13,0,997,1
280,490,3430,21,0,1003,1
1190,-1680,770,13,6,1002,1
-560,490,1190,11,-7,1002,1
2100,-3430,-2380,13,-11,996,1
-1050,490,1610,17,-12,990,1
-140,490,-1470,27,0,994,1
1190,-2520,-2800,13,1,996,1
2100,-770,2940,8,1,992,1
-1470,-4760,280,17,-7,997,1
1610,-1680,-560,22,-10,996,1
-1050,-350,280,11,-1,990,1
2520,-350,2940,11,-4,1003,1
-1050,490,-2380,13,-12,997,1
-1470,-350,2100,15,-4,994,1
-2800,-2100,-140,23,-16,1003,1
3010,-1680,-1050,25,0,996,1
-560,-2100,-140,13,-5,993,1
770,-3430,-560,6,-4,996,1
1610,490,1190,19,6,1001,1
770,-1680,1190,8,-4,1004,1
1610,70,-560,14,8,999,1
770,-2100,-1470,10,-3,997,1
-2380,3150,2520,6,0,1002,1
1190,-350,-2800,20,-5,1001,1
2520,70,-560,10,-5,1004,1
2520,70,770,21,-18,994,1
-1890,910,1190,13,-3,996,1
280,-770,280,17,-9,989,1
-560,-2100,-560,7,-1,990,1
-1050,-1680,280,17,-5,1004,1
2520,910,-1050,24,-9,1000,1
-140,490,-140,14,-3,992,1
2100,-770,-1470,13,-10,1008,1
2100,910,-140,15,0,995,1
-3220,3150,4270,24,-4,994,1
-1050,-2100,-560,18,-5,990,1
-1890,-1680,280,14,4,996,1
3010,1400,2100,20,-2,1000,1
1610,-2520,-140,20,-1,992,1
4340,70,1190,20,-8,1001,1
1190,-1680,-560,12,5,999,1
1190,-1680,-3220,18,-3,1002,1
-2800,1820,280,13,2,1002,1
3430,490,280,12,-2,999,1
-1050,70,280,11,0,1003,1
2100,910,-560,5,-9,1008,1
770,-1260,280,15,-1,993,1
280,70,770,12,2,994,1
2520,-1680,-140,12,0,1000,1
-2800,1820,1190,13,0,996,1
-560,2660,-140,26,-4,1005,1
-560,1400,770,9,-1,995,1
770,-1680,-140,13,0,988,1
3010,70,-140,15,-9,996,1
2520,1820,280,11,1,998,1
770,490,2520,9,-6,1003,1
770,70,-560,13,0,1002,1
-1890,490,2940,16,-4,989,1
-140,-770,1610,13,-6,994,1
-1050,70,1610,10,-3,1005,1
2520,-2520,-140,19,-14,1010,1
770,70,770,18,-4,999,1
2520,-3010,-140,12,-11,996,1
1190,-2520,-560,11,-8,1007,1
3850,-2520,4760,16,-2,990,1
-2380,-350,1190,16,-11,1004,1
770,-350,2940,22,-10,992,1
1190,-3430,2940,20,-11,1005,1
-5460,1820,1610,14,-7,1006,1
1610,70,-560,10,-3,998,1
-1470,490,-560,18,-8,995,1
-1470,70,2940,19,4,997,1
3850,490,2520,4,0,1005,1
280,-840,280,6,-2,995,1
-1050,-2100,-560,11,-2,1001,1
1190,-840,-1050,9,-7,999,1
280,-3010,-560,21,-5,999,1
770,-770,-1470,1027,6,40,1
-140,490,-1470,1013,0,34,1
-560,-770,2100,1014,0,47,1
3430,-3010,-2800,1012,1,35,1
1610,-1260,770,1018,1,31,1
-1050,-2100,1190,1015,5,39,1
-560,1820,2520,1010,5,26,1
-1890,70,1190,1014,-5,39,1
-140,3150,2100,1010,-1,26,1
-140,-1680,2100,1013,6,28,1
2100,-1680,-1050,1002,3,41,1
770,-1680,-140,1011,0,42,1
770,-2100,1610,1010,3,30,1
2100,4410,2520,1009,2,35,1
-2380,-2520,-140,1012,9,37,1
-3710,1820,-1890,1017,-2,39,1
280,-3430,-3220,1013,-1,24,1
3010,-1680,-560,1014,0,32,1
1680,-3010,770,1004,-4,41,1
2100,490,-1050,1017,0,36,1
770,-770,1190,1010,0,35,1
2520,-770,-1890,1009,0,35,1
-1050,1400,4270,1018,10,33,1
-1470,-840,770,1016,-7,32,1
3010,-350,-560,1009,1,28,1
1190,-840,1610,1015,-2,38,1
-1050,490,1610,1008,-5,31,1
-2380,-1680,-140,1012,12,26,1
-560,-1260,2100,1015,0,32,1
-1470,70,1190,1010,5,44,1
1610,910,-560,1007,0,34,1
-2800,-770,1190,-992,1,20,1
-3710,2660,280,-988,1,14,1
2520,-1260,-140,-987,6,15,1
3430,-3850,-560,-1002,10,15,1
770,-2520,-140,-986,-8,20,1
280,-770,-1050,-987,4,16,1
-140,-1680,-560,-992,23,10,1
-2800,-4270,-1890,-986,0,19,1
-22820,108220,22540,-944,65,21,1
-140,-840,-1050,11,995,4,1
3010,2660,4760,7,999,11,1
2520,-350,-560,16,989,20,1
-1890,-1680,-140,17,1002,20,1
3010,-1260,-1050,20,1004,20,1
-140,910,770,14,1002,11,1
770,-1260,2940,19,1003,23,1
-560,-1260,770,11,997,15,1
280,-2520,2520,10,992,4,1
-140,-1260,1190,19,997,15,1
3430,-3010,1190,15,994,17,1
2100,-2100,2100,19,1002,7,1
770,-2100,-1050,23,996,17,1
4760,-6020,5180,12,997,14,1
-140,-3850,280,18,1003,3,1
1680,-3850,1190,13,996,20,1
-1050,70,-140,7,1003,16,1
-560,1400,-560,16,1000,10,1
2100,-350,280,17,1000,16,1
1190,70,-1470,16,996,18,1
2100,-2100,4340,5,996,6,1
-140,490,280,14,994,23,1
-140,-2100,-560,13,993,12,1
3430,-840,-1050,14,996,14,1
-560,70,1190,18,994,12,1
-560,1400,1190,18,987,17,1
770,-5600,-1890,15,999,7,1
280,-2100,1190,20,1003,12,1
2100,-840,-1470,19,996,14,1
2100,-840,-1470,14,1003,16,1
-560,70,-1050,16,1005,13,1
-1470,-3430,770,19,1005,12,1
-1470,-350,-1470,18,998,16,1
770,-2520,1190,13,990,17,1
-560,490,-140,28,1008,11,1
-1050,70,1190,3,1002,15,1
3010,-1680,-140,16,991,13,1
2520,-350,-2800,11,995,21,1
280,-1260,-140,10,985,16,1
-140,-1260,2100,8,996,17,1
2100,490,1610,19,-4,1001,1
1680,-350,280,9,-8,985,1
-1050,-2100,-2800,9,-4,996,1
280,490,-560,8,4,992,1
-140,-840,-1890,25,-10,995,1
770,70,2100,14,-15,989,1
3010,-2520,770,23,-7,994,1
1190,-2100,-140,28,-9,986,1
-2380,70,-1050,20,-12,1005,1
-140,-2520,1190,21,-7,1002,1
-2800,-2100,4270,17,-13,996,1
-560,-840,-560,19,-12,990,1
280,-1260,280,14,-14,996,1
770,-2520,-140,13,-11,996,1
2100,910,770,34,-9,996,1
280,-350,280,19,-14,997,1
1190,-2520,-1470,21,-15,1006,1
-3710,910,2100,15,-17,998,1
2100,3150,280,25,-14,998,1
-1470,70,-1050,22,-3,1003,1
2520,490,-560,13,-22,1000,1
-1470,910,-1890,20,-13,998,1
1190,-350,1190,25,-15,1003,1
-3220,70,2940,7,-10,1004,1
-2380,910,770,18,-14,1002,1
1190,-840,280,18,-14,996,1
2520,1400,4270,4,-6,1002,1
3850,-3430,-560,20,-15,995,1
1190,1820,-560,12,-6,996,1
1680,-2520,-140,21,-3,993,1
1680,-2520,280,22,-13,996,1
1190,-840,-1890,18,-12,995,1
770,70,-1470,22,-20,993,1
1190,490,1190,23,-9,998,1
770,-840,-3220,12,-12,993,1
770,70,770,19,-20,1000,1
3010,-3010,2100,11,-20,1011,1
1680,910,1610,17,-19,996,1
1190,-1680,-140,11,-12,989,1
280,910,1190,13,-14,995,1
-1050,-3430,1610,13,-18,998,1
-140,-2100,-1890,15,-17,992,1
4340,70,1610,10,-19,997,1
-560,1400,770,21,-11,991,1
-140,-3430,-1890,13,-12,997,1
-1470,-1260,280,10,-19,1000,1
3430,490,2100,23,-9,1000,1
1190,490,280,22,-15,985,1
-1050,-1680,770,20,-18,1002,1
2100,-1260,770,13,-22,995,1
770,-3010,-1050,24,-13,993,1
2100,-3430,-560,11,-11,993,1
2520,2240,2520,20,-14,988,1
-1470,-3850,-1470,17,-11,1000,1
1680,-1260,-140,29,-3,984,1
-1050,70,2100,18,0,1000,1
-140,70,-1050,8,-17,990,1
280,-1260,770,25,-13,1003,1
-140,-3010,2520,17,-16,991,1
3430,-3010,2100,6,-11,995,1
1680,1400,770,16,-12,992,1
-1890,70,770,13,-13,990,1
280,2240,280,20,-18,998,1
1680,-2100,2100,20,-12,989,1
2520,-2520,-1050,14,-7,990,1
-1050,-840,2100,22,-14,1000,1
2100,-2100,-2380,6,-11,996,1
1190,-3430,1610,10,-21,996,1
-2800,-350,1190,18,-14,1001,1
-1470,-840,280,16,-9,996,1
-1470,-350,2940,15,-11,997,1
5180,-1680,-1890,19,-17,999,1
-560,-2100,-1050,16,-12,996,1
3010,490,770,19,-14,979,1
2520,70,280,19,-14,999,1
770,-2520,1190,10,-13,994,1
280,-5600,-1050,28,-15,998,1
2520,-2100,-1470,18,-15,997,1
280,-2520,770,28,-9,994,1
280,-350,770,18,-15,994,1
1190,-2520,770,29,-13,987,1
1680,1820,-1050,28,-17,990,1
-140,-840,1610,19,-8,992,1
770,-1260,770,25,-13,1004,1
280,-1680,2100,26,-8,991,1
-1470,-2520,2100,11,-13,996,1
3010,-2100,-2800,27,-20,996,1
1610,-2520,770,25,-12,990,1
-1470,1400,3850,27,-13,1006,1
770,-1260,280,16,-7,997,1
770,-1260,-140,18,-16,990,1
280,490,1190,11,-20,986,1
3010,-1260,-1890,24,-3,993,1
2520,-2520,-560,12,-20,990,1
2100,-840,-140,16,-12,987,1
2520,-350,1190,11,-13,1010,1
770,-2520,-560,20,-14,998,1
3010,-1260,-1050,9,-11,997,1
770,-1680,-1470,12,-16,1004,1
-560,-350,-1050,26,-12,991,1
280,70,2100,3,-36,1022,1
-140,-350,-1050,38,-12,990,1
1190,-1260,-560,8,-19,993,1
-140,-350,770,19,-15,1002,1
2520,-770,1610,26,-14,991,1
-2800,-2100,-1050,17,-14,993,1
770,-4760,-2380,20,-13,1001,1
1190,-840,-1050,18,-24,976,1
1190,-1260,1190,12,-14,1001,1
2100,70,2520,10,-12,990,1
-560,-3010,-2800,12,-25,1000,1
770,490,1190,23,-15,995,1
-1470,-350,2520,13,-12,996,1
-140,-350,-560,9,-20,996,1
1610,70,-1050,22,-13,1007,1
280,-3010,-1890,14,-14,996,1
-140,-840,770,15,-11,1001,1
280,1400,-140,10,-11,996,1
1610,-770,770,18,-4,999,1
280,-1680,1190,16,-19,987,1
280,-1260,-560,17,-16,979,1
1190,-2520,-1050,15,-6,992,1
3010,-4270,-1470,14,-12,990,1
2520,-3430,770,15,-23,996,1
1610,-1260,1190,14,-9,998,1
-2380,-1260,-1890,16,-13,994,1
-2380,1820,-1470,20,-10,996,1
-1890,-3430,-560,12,-16,999,1
-2380,-3430,-2800,20,-5,1001,1
280,70,770,30,-11,1002,1
1610,-4270,1610,24,-6,998,1
3010,-1260,1610,15,-17,992,1
770,-350,-1890,17,-19,999,1
-1050,-1680,-1890,15,-4,987,1
-560,-350,280,24,-13,991,1
770,-770,3430,19,-8,1001,1
1190,-1260,1190,10,-15,999,1
2520,-3850,280,13,-20,1001,1
-1050,490,770,17,-17,997,1
2520,-2100,-140,25,-17,991,1
-140,-350,-560,25,0,1001,1
2520,-2520,-3220,15,-24,997,1
4340,-1680,1190,12,-11,1003,1
-3220,-770,280,15,-12,1001,1
770,-3010,770,26,-25,992,1
3010,490,1190,10,-20,990,1
-1050,-840,2940,17,-17,991,1
-140,-840,2940,20,-18,989,1
-2800,6580,-4130,19,-4,991,1
-1050,-1260,2940,18,-14,985,1
1680,-2100,3430,24,-13,994,1
280,490,-560,17,-12,1002,1
1680,-840,-4130,18,-20,992,1
-140,1820,1610,16,-8,999,1
1190,-350,280,19,-6,1002,1
770,-350,770,18,-12,993,1
3850,-1680,-1470,20,-6,994,1
-1050,490,2100,24,-11,997,1
-560,70,-1050,21,-4,1000,1
-1470,2240,-1890,17,-16,1004,1
770,-840,280,20,-14,999,1
-140,-350,1190,11,-15,993,1
1190,-1260,280,9,-17,998,1
1680,-2100,-1050,10,-13,997,1
2100,-2520,-1470,18,-11,1002,1
1680,490,1190,16,-21,1002,1
770,-350,4340,25,-16,994,1
-140,-3850,-2380,15,-15,992,1
280,-350,5180,15,-20,995,1
2100,-3430,-1470,23,-11,998,1
-1470,490,-1470,15,-11,997,1
-1050,910,280,20,-20,994,1
-140,-1680,-2380,21,-14,992,1
1680,1820,2100,18,-13,998,1
-1050,2240,3850,14,-16,997,1
280,-1260,280,34,-11,987,1
1680,910,1190,22,-15,988,1
770,-840,2100,31,-9,1001,1
4760,3990,2940,13,-14,992,1
4760,910,280,26,-18,996,1
-560,-350,1610,11,-13,998,1
770,-3010,1190,29,-2,994,1
-140,-2520,-4550,20,-10,998,0
1190,-1260,6090,21,-14,984,0
3850,-3850,-3220,27,-13,991,0
770,-350,-140,29,-5,998,0
1190,910,-140,14,-8,1004,0
-1050,-6020,1190,24,-4,997,0
3430,-3430,-1050,20,-11,996,0
-9940,3150,280,2,48,998,0
3010,2660,2100,22,-6,988,0
-2380,-2100,-140,20,-17,981,0
53200,-48790,-37870,380,103,881,0
-140,-1680,-140,-989,198,-23,0
-19670,1820,16730,-884,267,-7,0
-560,-1680,18060,-964,293,104,0
14980,-12180,15820,-1043,224,112,0
37660,-2100,48300,-939,432,27,0
32760,-9520,38920,-793,588,52,0
22960,-23940,25620,-553,658,84,0
27860,-29190,2940,-608,655,137,0
12320,-40950,-14770,-582,752,178,0
40320,-39200,-9450,-662,789,212,0
46550,-47880,-7700,-611,770,215,0
36750,-43540,-12600,-568,736,214,0
30100,-37450,-11690,-537,766,161,0
18970,-38780,-13020,-603,758,174,0
15400,-32620,-13930,-530,650,101,0
28350,2240,-11270,-775,798,175,0
20300,-350,-11270,-676,752,117,0
770,1820,280,-636,774,60,0
6090,36680,17150,-743,767,14,0
-18830,68950,27370,-676,691,204,0
-33040,53270,3430,-604,860,78,0
-44590,49350,2940,-534,824,59,0
-29470,33670,-24080,-728,731,39,0
-28560,70,-38780,-706,723,279,0
25690,9660,21210,-753,844,167,0
-2380,-4760,10500,-659,561,52,0
-36120,10990,-8120,-668,662,40,0
-42840,25340,8330,-725,686,101,0
-50820,45010,9170,-690,684,84,0
-37940,40180,7000,-726,729,18,0
-9940,30590,1610,-616,695,-81,0
2100,-1680,1190,-666,716,-61,0
14070,-15610,7000,-653,728,-88,0
42560,-33950,4340,-678,742,-87,0
9660,13580,-140,-745,748,-69,0
-11270,12250,-13440,-660,813,-61,0
-7700,910,-6370,-601,753,-61,0
-33040,44100,-1050,-640,745,-107,0
-23240,44100,3850,-700,717,-99,0
-26390,45850,-13930,-610,658,-49,0
-32130,39760,-3710,-638,737,-86,0
-18830,16660,-8120,-640,732,-110,0
20300,-22610,13160,-604,798,-105,0
54110,-52710,24710,-784,761,-131,0
56350,-60970,10990,-682,693,-77,0
36330,-52290,11410,-666,701,-38,0
23870,-49630,3850,-628,698,-194,0
29680,-35700,-1890,-613,725,-179,0
18550,-31780,7000,-661,742,-180,0
15890,1400,8330,-650,663,-106,0
-22820,41090,4340,-709,721,-128,0
-33950,47600,-5880,-672,734,-121,0
-36120,46760,-3220,-670,700,-176,0
-30380,29260,-13440,-627,728,-146,0
3010,-350,6090,-626,795,-145,0
42560,-27860,15400,-706,714,-99,0
42140,-40950,3850,-699,707,-75,0
25690,-54040,8750,-704,750,-109,0
18970,-39620,770,-701,669,-62,0
7000,-24780,-2800,-677,723,-176,0
7840,-8190,-560,-675,786,-168,0
10570,17500,12740,-737,666,-146,0
-17500,34510,-8540,-620,675,-80,0
-35280,38430,-5040,-670,721,-67,0
-9940,8820,-5880,-638,801,-175,0
24290,-24360,8750,-642,711,-133,0
2520,-840,9170,-656,702,-256,0
7000,3990,1190,-611,625,-147,0
7840,7490,-10780,-750,561,-264,0
-3710,9660,-15680,-771,555,-367,0
34090,-32200,9660,-699,661,-226,0
-5040,-26530,-2380,-776,687,-253,0
4760,-21770,-6790,-656,671,-281,0
-3220,910,8750,-678,665,-265,0
9660,-20860,7420,-636,699,-261,0
17640,-48790,2100,-594,711,-247,0
34580,-52710,14490,-637,794,-289,0
46970,-57470,12740,-640,768,-274,0
42560,-54040,14980,-769,744,-312,0
15400,-50960,6090,-650,600,-81,0
-16170,-18690,5670,-728,729,-164,0
-13020,16660,-1050,-675,761,-234,0
-21490,26250,-3220,-685,755,-192,0
-4130,44100,3430,-715,746,-164,0
-15680,42350,-15260,-621,660,-138,0
-36610,32340,-5460,-663,755,-211,0
-23240,28840,-1050,-595,734,-262,0
14980,6580,-2800,-518,821,-345,0
21210,-17360,17640,-552,779,-308,0
36330,-38780,19880,-582,659,-202,0
29680,-48790,9660,-644,728,-250,0
39410,-60130,11410,-708,655,-175,0
35910,-47460,23380,-746,730,-224,0
10080,-39200,7420,-595,720,-175,0
23450,-45290,-1890,-631,795,-234,0
35910,-35700,15820,-602,785,-207,0
18970,-9520,22050,-626,793,-194,0
-26390,31500,10080,-487,757,-166,0
-37030,46270,11410,-495,926,-118,0
-28140,48020,15400,-400,895,-127,0
-25900,14490,-8540,-224,880,-125,0
-12600,17920,35420,-306,998,-51,0
4760,-73640,-10360,58,936,125,0
-2380,-67970,-12600,42,1008,108,0
-33460,62440,16730,-520,798,111,0
-43260,48510,19390,-487,852,99,0
-13440,23170,2520,-516,861,120,0
350,-36540,-9870,-442,1005,-155,0
7420,-31360,3430,-368,988,-155,0
4760,-47880,14490,-331,915,-100,0
8330,-64470,14070,-346,990,-229,0
-4130,15750,-3710,-317,935,-122,0
-5460,-9100,3850,-385,819,-179,0
15400,-30870,280,-373,903,-172,0
33250,-67550,14490,-377,908,-209,0
37240,-88060,25200,-356,778,-65,0
35910,-74060,21210,-386,884,-30,0
17220,-70140,11830,-458,960,-125,0
8750,-57960,8750,-421,928,-83,0
16310,-65800,1190,-387,925,-90,0
31430,-63630,-560,-379,890,-97,0
29190,-53550,7000,-382,936,-141,0
17640,-26950,2520,-419,857,-78,0
-10780,23590,4340,-366,856,-94,0
-32130,64610,-7700,-427,891,-33,0
-16590,62440,1610,-359,833,-43,0
-16590,48020,-2380,-378,888,-149,0
7420,29750,-2380,-351,1025,-117,0
6090,3150,-5460,-448,924,-78,0
5670,-25200,770,-399,909,-52,0
13230,-44450,18970,-361,875,-28,0
770,-51870,12740,-438,926,-147,0
11900,-38780,8750,-306,880,-128,0
14070,-13440,8750,-356,927,-85,0
36330,52850,21630,-613,-107,746,1
-13020,-32620,9660,-643,-633,486,1
-25480,-26530,13650,-591,-629,425,1
-20580,-14770,4340,-595,-672,429,1
-7700,-35700,23870,-604,-624,473,1
-1890,-4760,3010,-748,-612,541,1
15890,8820,-9450,-667,-592,413,1
3010,21420,-6370,-688,-564,398,1
13230,20580,-1470,-678,-601,431,1
7420,26670,-8540,-657,-652,421,1
-2800,31920,-13020,-638,-592,361,1
18970,26670,-8120,-643,-641,394,1
13650,9240,-7700,-647,-646,388,1
7840,-9100,-7210,-707,-607,324,1
-12600,-25200,10990,-700,-596,334,1
-29470,-29190,14980,-675,-632,398,1
-36610,-24360,27370,-782,-630,377,1
-11690,-20860,1610,-643,-628,387,1
16730,6580,-10360,-616,-627,445,1
45220,14910,-18760,-677,-614,387,1
26110,33670,-13930,-667,-616,348,1
8330,35420,-14770,-714,-655,307,1
14560,29260,-7700,-707,-648,508,1
18130,26250,-6790,-734,-611,393,1
35000,2240,-10360,-776,-628,368,1
7000,-20860,6510,-747,-615,400,1
-22330,-23030,8330,-728,-619,390,1
-25060,-20020,18550,-800,-615,412,1
8750,3570,-1470,-613,-628,346,1
41230,29750,-28560,-767,-629,392,1
49700,43260,-32970,-752,-556,313,1
44800,41090,-32550,-744,-581,414,1
41650,39340,-25900,-743,-593,410,1
38080,36680,-13020,-731,-549,388,1
-9030,-24360,8750,-664,-610,408,1
13650,-1260,-3710,-627,-623,372,1
36750,-4270,-20090,-638,-633,468,1
12740,-14770,-27230,-540,-619,583,1
16310,-30870,-10780,-340,-606,655,1
14980,-5180,-14770,-325,-507,766,1
-11690,36680,-21420,-204,-570,814,1
20300,10080,-16100,-712,-550,303,1
7840,70,-14770,-826,-575,534,1
-73080,-3430,-16100,-830,-568,475,1
-64610,-43540,33600,-378,-732,21,1
-44170,-80150,6510,-707,-732,-38,1
-10780,-6510,19880,-534,-813,-110,1
45640,48930,-13020,-660,-1059,298,1
-11690,-13020,-100940,-483,-987,198,1
-31710,-49630,-41440,-69,-720,-132,1
39900,-1680,109550,-452,-640,-73,1
82600,128310,28700,-1206,-1044,-75,1
96810,106470,-80920,-510,-962,652,1
-72170,-71050,-56980,-175,-696,-73,1
-32620,-61460,6510,-297,-719,-425,1
155470,141400,-11270,-316,-1030,-344,1
15890,45430,-67620,-195,-1387,674,1
-53480,-85400,-34300,192,-815,69,1
-7700,-80640,27860,-257,-800,-325,1
143920,79030,82460,-515,-649,-715,1
15400,77700,-86730,-758,-1332,620,1
-32130,-90230,-88970,105,-728,-102,1
180810,-101990,69160,120,-386,-409,1
356440,33670,-24990,-198,-566,639,1
59010,-34860,-44100,90,87,1389,1
-336700,139160,28700,-206,-200,802,1
76370,-47880,128170,-894,-185,-533,1
62090,-273840,-28140,-603,-209,1157,1
-375410,179760,97090,38,-129,787,1
33670,67690,196560,-857,-157,-694,1
210140,-178290,10500,-810,-556,400,1
36330,52850,21630,-613,-107,746,0
-13020,-32620,9660,-643,-633,486,0
-25480,-26530,13650,-591,-629,425,0
-20580,-14770,4340,-595,-672,429,0
-7700,-35700,23870,-604,-624,473,0
-1890,-4760,3010,-748,-612,541,0
15890,8820,-9450,-667,-592,413,0
3010,21420,-6370,-688,-564,398,0
13230,20580,-1470,-678,-601,431,0
7420,26670,-8540,-657,-652,421,0
-2800,31920,-13020,-638,-592,361,0
18970,26670,-8120,-643,-641,394,0
13650,9240,-7700,-647,-646,388,0
7840,-9100,-7210,-707,-607,324,0
-12600,-25200,10990,-700,-596,334,0
-29470,-29190,14980,-675,-632,398,0
-36610,-24360,27370,-782,-630,377,0
-11690,-20860,1610,-643,-628,387,0
16730,6580,-10360,-616,-627,445,0
45220,14910,-18760,-677,-614,387,0
26110,33670,-13930,-667,-616,348,0
8330,35420,-14770,-714,-655,307,0
14560,29260,-7700,-707,-648,508,0
18130,26250,-6790,-734,-611,393,0
35000,2240,-10360,-776,-628,368,0
7000,-20860,6510,-747,-615,400,0
-22330,-23030,8330,-728,-619,390,0
-25060,-20020,18550,-800,-615,412,0
8750,3570,-1470,-613,-628,346,0
41230,29750,-28560,-767,-629,392,0
49700,43260,-32970,-752,-556,313,0
44800,41090,-32550,-744,-581,414,0
41650,39340,-25900,-743,-593,410,0
38080,36680,-13020,-731,-549,388,0
-9030,-24360,8750,-664,-610,408,0
13650,-1260,-3710,-627,-623,372,0
36750,-4270,-20090,-638,-633,468,0
12740,-14770,-27230,-540,-619,583,0
16310,-30870,-10780,-340,-606,655,0
14980,-5180,-14770,-325,-507,766,0
-11690,36680,-21420,-204,-570,814,0
20300,10080,-16100,-712,-550,303,0
7840,70,-14770,-826,-575,534,0
-73080,-3430,-16100,-830,-568,475,0
-64610,-43540,33600,-378,-732,21,0
-44170,-80150,6510,-707,-732,-38,0
-10780,-6510,19880,-534,-813,-110,0
45640,48930,-13020,-660,-1059,298,0
-11690,-13020,-100940,-483,-987,198,0
-31710,-49630,-41440,-69,-720,-132,0
39900,-1680,109550,-452,-640,-73,0
82600,128310,28700,-1206,-1044,-75,0
96810,106470,-80920,-510,-962,652,0
-72170,-71050,-56980,-175,-696,-73,0
-32620,-61460,6510,-297,-719,-425,0
155470,141400,-11270,-316,-1030,-344,0
